plot_id,season,site_id,site_name,region,variety,treatment,replicate,rainfall_mm,growing_degree_days,disease_pressure_index,stand_count_per_m2,lodging_pct,yield_t_ha
P00001,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Untreated Check,1,510.0,2445.0,55.7,7.15,4.1,9.06
P00002,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Untreated Check,2,510.0,2445.0,42.7,8.51,3.0,9.6
P00003,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Untreated Check,3,510.0,2445.0,55.3,8.33,4.3,10.14
P00004,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Untreated Check,4,510.0,2445.0,55.8,8.51,8.3,8.19
P00005,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Programme Alpha,1,510.0,2445.0,22.3,7.51,3.8,10.8
P00006,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Programme Alpha,2,510.0,2445.0,21.5,8.57,1.6,10.21
P00007,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Programme Alpha,3,510.0,2445.0,17.4,8.27,3.8,9.89
P00008,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Programme Alpha,4,510.0,2445.0,21.7,7.87,2.4,8.72
P00009,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Programme Bravo,1,510.0,2445.0,8.6,7.99,1.6,10.65
P00010,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Programme Bravo,2,510.0,2445.0,8.5,7.38,4.0,11.01
P00011,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Programme Bravo,3,510.0,2445.0,9.6,8.27,3.8,10.35
P00012,2021,S01,North Ridge Station,Northern Plains,CL-Aurora 21,Programme Bravo,4,510.0,2445.0,8.9,7.73,6.9,10.36
P00013,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Untreated Check,1,510.0,2445.0,48.2,7.95,2.6,10.51
P00014,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Untreated Check,2,510.0,2445.0,47.7,8.08,6.5,10.33
P00015,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Untreated Check,3,510.0,2445.0,55.5,8.13,8.2,10.54
P00016,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Untreated Check,4,510.0,2445.0,47.1,8.4,4.1,11.18
P00017,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Programme Alpha,1,510.0,2445.0,20.4,7.88,2.7,11.19
P00018,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Programme Alpha,2,510.0,2445.0,24.9,8.08,4.2,11.31
P00019,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Programme Alpha,3,510.0,2445.0,18.3,8.48,12.6,11.42
P00020,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Programme Alpha,4,510.0,2445.0,22.4,7.8,1.9,11.22
P00021,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Programme Bravo,1,510.0,2445.0,9.6,8.08,1.3,11.4
P00022,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Programme Bravo,2,510.0,2445.0,8.1,7.61,6.4,11.16
P00023,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Programme Bravo,3,510.0,2445.0,9.5,7.71,4.5,10.94
P00024,2021,S01,North Ridge Station,Northern Plains,CL-Beacon 44,Programme Bravo,4,510.0,2445.0,10.1,7.66,3.6,10.76
P00025,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Untreated Check,1,510.0,2445.0,45.2,8.13,2.8,10.39
P00026,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Untreated Check,2,510.0,2445.0,45.9,7.69,8.0,9.45
P00027,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Untreated Check,3,510.0,2445.0,35.6,8.13,3.2,9.35
P00028,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Untreated Check,4,510.0,2445.0,49.1,7.49,2.8,8.84
P00029,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Programme Alpha,1,510.0,2445.0,21.4,7.53,2.7,9.6
P00030,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Programme Alpha,2,510.0,2445.0,20.5,7.96,4.4,9.28
P00031,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Programme Alpha,3,510.0,2445.0,16.3,7.84,4.3,9.29
P00032,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Programme Alpha,4,510.0,2445.0,25.4,7.95,3.1,10.45
P00033,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Programme Bravo,1,510.0,2445.0,10.0,8.03,1.7,10.44
P00034,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Programme Bravo,2,510.0,2445.0,9.6,8.24,2.9,10.58
P00035,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Programme Bravo,3,510.0,2445.0,9.4,7.66,4.0,9.52
P00036,2021,S01,North Ridge Station,Northern Plains,CL-Cinder 07,Programme Bravo,4,510.0,2445.0,8.3,8.13,3.1,8.92
P00037,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Untreated Check,1,510.0,2445.0,40.1,7.71,4.0,10.96
P00038,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Untreated Check,2,510.0,2445.0,49.3,7.7,6.2,10.64
P00039,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Untreated Check,3,510.0,2445.0,41.5,7.74,6.0,10.17
P00040,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Untreated Check,4,510.0,2445.0,48.7,7.95,9.4,10.68
P00041,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Programme Alpha,1,510.0,2445.0,25.0,7.66,8.6,10.67
P00042,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Programme Alpha,2,510.0,2445.0,23.4,7.58,9.8,11.41
P00043,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Programme Alpha,3,510.0,2445.0,18.4,8.01,7.7,10.45
P00044,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Programme Alpha,4,510.0,2445.0,23.0,7.37,2.6,10.65
P00045,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Programme Bravo,1,510.0,2445.0,10.4,8.1,2.8,11.25
P00046,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Programme Bravo,2,510.0,2445.0,10.5,7.8,3.7,10.66
P00047,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Programme Bravo,3,510.0,2445.0,10.2,7.83,4.3,10.85
P00048,2021,S01,North Ridge Station,Northern Plains,CL-Delta 12,Programme Bravo,4,510.0,2445.0,8.9,7.84,2.8,10.47
P00049,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Untreated Check,1,510.0,2445.0,40.7,7.86,2.8,10.53
P00050,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Untreated Check,2,510.0,2445.0,43.1,8.08,7.2,10.1
P00051,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Untreated Check,3,510.0,2445.0,44.0,6.7,4.8,11.48
P00052,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Untreated Check,4,510.0,2445.0,43.5,8.01,4.7,9.99
P00053,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Programme Alpha,1,510.0,2445.0,23.1,7.32,3.8,11.55
P00054,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Programme Alpha,2,510.0,2445.0,21.7,7.81,2.8,10.93
P00055,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Programme Alpha,3,510.0,2445.0,20.3,7.91,1.7,10.56
P00056,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Programme Alpha,4,510.0,2445.0,21.1,7.84,1.6,11.56
P00057,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Programme Bravo,1,510.0,2445.0,11.1,7.62,2.0,12.41
P00058,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Programme Bravo,2,510.0,2445.0,9.3,7.74,1.8,10.68
P00059,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Programme Bravo,3,510.0,2445.0,8.5,7.62,2.4,12.12
P00060,2021,S01,North Ridge Station,Northern Plains,CL-Ember 33,Programme Bravo,4,510.0,2445.0,10.6,7.71,1.1,11.65
P00061,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Untreated Check,1,497.4,2348.0,67.5,7.29,6.9,8.01
P00062,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Untreated Check,2,497.4,2348.0,76.6,8.19,7.0,8.73
P00063,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Untreated Check,3,497.4,2348.0,66.0,7.45,6.7,8.78
P00064,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Untreated Check,4,497.4,2348.0,68.0,7.3,6.0,8.23
P00065,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Programme Alpha,1,497.4,2348.0,34.9,7.08,3.3,9.69
P00066,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Programme Alpha,2,497.4,2348.0,28.0,8.0,2.6,8.96
P00067,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Programme Alpha,3,497.4,2348.0,32.2,8.29,3.8,8.85
P00068,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Programme Alpha,4,497.4,2348.0,23.6,7.02,6.0,9.86
P00069,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Programme Bravo,1,497.4,2348.0,14.6,8.06,2.1,9.16
P00070,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Programme Bravo,2,497.4,2348.0,13.6,7.9,1.9,8.47
P00071,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Programme Bravo,3,497.4,2348.0,11.5,7.62,5.2,9.3
P00072,2021,S02,Clay Flats Station,Northern Plains,CL-Aurora 21,Programme Bravo,4,497.4,2348.0,15.2,7.43,1.4,9.8
P00073,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Untreated Check,1,497.4,2348.0,65.8,8.67,4.7,10.04
P00074,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Untreated Check,2,497.4,2348.0,64.5,7.95,5.8,9.93
P00075,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Untreated Check,3,497.4,2348.0,62.7,8.12,5.1,10.57
P00076,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Untreated Check,4,497.4,2348.0,68.9,7.62,6.0,10.04
P00077,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Programme Alpha,1,497.4,2348.0,27.6,7.88,4.7,10.29
P00078,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Programme Alpha,2,497.4,2348.0,27.7,8.17,2.8,10.67
P00079,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Programme Alpha,3,497.4,2348.0,28.0,8.1,2.4,10.05
P00080,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Programme Alpha,4,497.4,2348.0,28.3,8.0,4.9,10.04
P00081,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Programme Bravo,1,497.4,2348.0,14.5,7.93,3.2,10.52
